key,energy,liveliness,tempo,speechiness,acousticness,instrumentalness,time_signature,duration,loudness,valence,danceability,mode,time_signature_confidence,tempo_confidence,key_confidence,mode_confidence,genres
0.0,0.266,0.092767,123.012,0.22958399999999998,0.0023409999999999998,0.0027600000000000003,0.0,4.0,285.84095,-13.371,0.35223299999999996,0.960595,0.681,0.611,0.912,1.0,dance
5.0,0.8434379999999999,0.348132,126.057,0.060760999999999996,0.00496,0.0,1.0,4.0,182.28,-4.385,0.6005469999999999,0.597687,0.577,0.537,0.801,1.0,dance
10.0,0.7960079999999999,0.196623,119.754,0.371263,0.14355099999999998,0.0,0.0,5.0,128.24,-3.835,0.6360800000000001,0.645533,0.552,0.521,0.387,1.0,dance
4.0,0.9527300000000001,0.929337,119.973,0.08058799999999999,0.255669,0.044476999999999996,0.0,4.0,340.78667,-6.031,0.558893,0.507772,0.055,0.311,0.656,0.867,dance
5.0,0.728873,0.08373599999999999,120.278,0.052204,0.054372,0.000294,1.0,4.0,199.92,-9.292,0.755833,0.8068200000000001,0.323,0.358,0.8220000000000001,1.0,dance
0.0,0.807279,0.093509,130.002,0.10788,0.22162,0.0,0.0,4.0,208.62018,-3.621,0.613644,0.71587,0.5730000000000001,0.65,0.926,1.0,dance
9.0,0.504397,0.084802,70.025,0.040198,0.010381,2.2000000000000003e-05,0.0,4.0,236.8,-8.388,0.227855,0.432419,0.591,0.554,0.019,0.989,dance
6.0,0.9219700000000001,0.32007399999999997,128.003,0.053614999999999996,0.00043000000000000004,0.423631,0.0,4.0,120.0,-3.7800000000000002,0.35883899999999996,0.5835100000000001,0.8270000000000001,0.798,0.9560000000000001,1.0,dance
7.0,0.3549,0.061161,126.004,0.056230999999999996,0.000856,0.019375,1.0,4.0,232.02667,-11.095,0.86016,0.80788,0.878,0.777,0.894,1.0,dance
7.0,0.557327,0.034117,106.551,0.057934,0.162041,0.008553999999999999,0.0,4.0,177.79415,-14.687,0.9321659999999999,0.7778419999999999,0.0,0.306,1.0,1.0,dance
11.0,0.647987,0.268348,123.985,0.073352,0.000584,0.09368399999999999,0.0,4.0,313.19129,-8.747,0.6306649999999999,0.906403,0.255,0.318,0.771,1.0,dance
7.0,0.833185,0.078544,129.961,0.029914,0.027417999999999998,0.000522,0.0,4.0,228.04,-5.884,0.678967,0.745197,0.272,0.422,0.91,1.0,dance
